Activity type,Duration,From,To,Comment
Eat,1.0,Mar 28 08:43 am,Mar 28 09:40 am,
Classwork,0.3,Mar 28 08:23 am,Mar 28 08:43 am,
Internet,0.2,Mar 27 10:19 pm,Mar 27 10:31 pm,
GRE,0.8,Mar 27 09:24 pm,Mar 27 10:09 pm,
GRE,0.4,Mar 27 08:49 pm,Mar 27 09:15 pm,
Shower,0.1,Mar 27 08:43 pm,Mar 27 08:46 pm,
Eat,0.4,Mar 27 08:19 pm,Mar 27 08:41 pm,
Sport,0.4,Mar 27 07:37 pm,Mar 27 08:04 pm,
GRE,0.5,Mar 27 06:52 pm,Mar 27 07:23 pm,
GRE,0.1,Mar 27 06:43 pm,Mar 27 06:47 pm,
GRE,0.7,Mar 27 06:01 pm,Mar 27 06:42 pm,
Shower,0.2,Mar 27 05:39 pm,Mar 27 05:53 pm,
Gaming,1.0,Mar 27 04:37 pm,Mar 27 05:37 pm,
Nap,2.1,Mar 27 01:50 pm,Mar 27 03:55 pm,
Eat,1.4,Mar 27 12:29 pm,Mar 27 01:50 pm,
Gaming,1.6,Mar 27 10:50 am,Mar 27 12:27 pm,
Coding,0.8,Mar 27 09:56 am,Mar 27 10:43 am,
Related Housekeeping ,0.1,Mar 27 09:27 am,Mar 27 09:33 am,
Related Housekeeping ,0.1,Mar 27 09:22 am,Mar 27 09:27 am,
For Others ,0.4,Mar 27 08:49 am,Mar 27 09:16 am,
Related Housekeeping ,0.1,Mar 27 08:45 am,Mar 27 08:48 am,
Classwork,0.1,Mar 27 08:35 am,Mar 27 08:40 am,
Sleep,0.0,Mar 27 01:08 am,Mar 27 01:09 am,
Classwork,0.8,Mar 27 12:13 am,Mar 27 01:02 am,
Read,0.1,Mar 27 12:09 am,Mar 27 12:13 am,
GRE,0.9,Mar 26 11:04 pm,Mar 27 12:01 am,
For Others ,1.8,Mar 26 08:57 pm,Mar 26 10:45 pm,
GRE,0.3,Mar 26 08:42 pm,Mar 26 08:57 pm,
Related Housekeeping ,0.2,Mar 26 08:28 pm,Mar 26 08:39 pm,
Coding,0.9,Mar 26 07:28 pm,Mar 26 08:24 pm,
For Others ,1.5,Mar 26 04:30 pm,Mar 26 06:00 pm,
Coding,0.5,Mar 26 04:00 pm,Mar 26 04:30 pm,
Coding,0.4,Mar 26 03:35 pm,Mar 26 04:00 pm,
Entertainment,1.1,Mar 26 02:15 pm,Mar 26 03:20 pm,
Eat,1.6,Mar 26 12:38 pm,Mar 26 02:15 pm,
Coding,0.2,Mar 26 11:56 am,Mar 26 12:06 pm,
Coding,0.6,Mar 26 11:08 am,Mar 26 11:42 am,
Coding,2.0,Mar 26 09:00 am,Mar 26 11:00 am,
Sleep,7.3,Mar 26 01:36 am,Mar 26 08:54 am,
Read,0.4,Mar 26 01:14 am,Mar 26 01:36 am,
Gaming,1.3,Mar 25 11:55 pm,Mar 26 01:11 am,
GRE,0.3,Mar 25 11:07 pm,Mar 25 11:23 pm,
Related Housekeeping ,0.0,Mar 25 11:05 pm,Mar 25 11:07 pm,
GRE,0.3,Mar 25 10:48 pm,Mar 25 11:04 pm,
GRE,0.5,Mar 25 10:08 pm,Mar 25 10:40 pm,
Gaming,2.5,Mar 25 07:38 pm,Mar 25 10:08 pm,
Eat,3.7,Mar 25 03:48 pm,Mar 25 07:30 pm,
Read,1.2,Mar 25 02:35 pm,Mar 25 03:48 pm,
GRE,0.9,Mar 25 11:28 am,Mar 25 12:22 pm,
Eat,0.5,Mar 25 10:30 am,Mar 25 11:00 am,
Classwork,0.2,Mar 25 09:56 am,Mar 25 10:07 am,
Gaming,0.8,Mar 25 09:09 am,Mar 25 09:56 am,
Gaming,0.0,Mar 25 09:09 am,Mar 25 09:09 am,
Gaming,0.6,Mar 25 08:30 am,Mar 25 09:06 am,
Read,0.4,Mar 25 12:40 am,Mar 25 01:05 am,
Gaming,0.7,Mar 24 09:50 pm,Mar 24 10:35 pm,
Classwork,1.1,Mar 24 08:41 pm,Mar 24 09:49 pm,
Eat,0.1,Mar 24 08:21 pm,Mar 24 08:29 pm,
Coding,0.3,Mar 24 08:00 pm,Mar 24 08:21 pm,
Sleep,2.1,Mar 24 05:40 pm,Mar 24 07:48 pm,
Gaming,1.2,Mar 24 04:10 pm,Mar 24 05:21 pm,
Classwork,0.4,Mar 24 12:29 pm,Mar 24 12:55 pm,
Classwork,0.5,Mar 24 12:25 pm,Mar 24 12:56 pm,
Meeting/OH,1.1,Mar 24 11:00 am,Mar 24 12:05 pm,
Classwork,1.0,Mar 24 07:45 am,Mar 24 08:45 am,
Classwork,1.1,Mar 24 06:36 am,Mar 24 07:42 am,
Entertainment,0.2,Mar 24 06:22 am,Mar 24 06:31 am,
Shower,0.4,Mar 24 05:54 am,Mar 24 06:15 am,
Sleep,0.3,Mar 24 05:36 am,Mar 24 05:54 am,
Sleep,4.1,Mar 24 01:30 am,Mar 24 05:36 am,
Classwork,0.4,Mar 24 12:42 am,Mar 24 01:07 am,
Classwork,0.0,Mar 24 12:41 am,Mar 24 12:41 am,
Classwork,0.8,Mar 23 11:49 pm,Mar 24 12:37 am,
Classwork,1.2,Mar 23 10:22 pm,Mar 23 11:37 pm,
Classwork,3.7,Mar 23 09:46 pm,Mar 24 01:25 am,
Classwork,0.6,Mar 23 09:46 pm,Mar 23 10:20 pm,
Related Housekeeping ,0.0,Mar 23 09:45 pm,Mar 23 09:46 pm,
Related Housekeeping ,0.2,Mar 23 09:30 pm,Mar 23 09:40 pm,
Classwork,0.0,Mar 23 09:29 pm,Mar 23 09:30 pm,
Sleep,1.2,Mar 23 08:00 pm,Mar 23 09:14 pm,
Classwork,0.1,Mar 23 07:26 pm,Mar 23 07:34 pm,
Classwork,0.1,Mar 23 07:04 pm,Mar 23 07:12 pm,
Gaming,1.0,Mar 23 03:31 pm,Mar 23 04:28 pm,
Classwork,0.4,Mar 23 02:40 pm,Mar 23 03:05 pm,
Classwork,0.5,Mar 23 11:23 am,Mar 23 11:51 am,
Eat,0.1,Mar 23 11:00 am,Mar 23 11:08 am,
Eat,0.2,Mar 23 10:43 am,Mar 23 10:54 am,
Classwork,0.6,Mar 23 10:04 am,Mar 23 10:41 am,
Gaming,1.6,Mar 23 12:03 am,Mar 23 01:40 am,
GRE,0.4,Mar 22 11:20 pm,Mar 22 11:44 pm,
Classwork,2.2,Mar 22 09:01 pm,Mar 22 11:13 pm,
Classwork,0.5,Mar 22 08:15 pm,Mar 22 08:48 pm,
Gaming,1.7,Mar 22 05:59 pm,Mar 22 07:39 pm,
Eat,1.6,Mar 22 05:15 pm,Mar 22 06:48 pm,
Classwork,0.7,Mar 22 01:01 pm,Mar 22 01:45 pm,
Classwork,0.5,Mar 22 08:38 am,Mar 22 09:09 am,
GRE,0.2,Mar 22 12:25 am,Mar 22 12:36 am,
GRE,0.5,Mar 21 11:48 pm,Mar 22 12:16 am,
GRE,0.0,Mar 21 11:28 pm,Mar 21 11:30 pm,
Coding,0.0,Mar 21 11:28 pm,Mar 21 11:28 pm,
Classwork,0.0,Mar 21 11:28 pm,Mar 21 11:28 pm,
GRE,0.0,Mar 21 11:28 pm,Mar 21 11:28 pm,
GRE,0.1,Mar 21 11:19 pm,Mar 21 11:27 pm,
Classwork,1.5,Mar 21 09:41 pm,Mar 21 11:11 pm,
Classwork,0.1,Mar 21 09:31 pm,Mar 21 09:36 pm,
Classwork,0.0,Mar 21 09:30 pm,Mar 21 09:30 pm,
Coding,0.5,Mar 21 08:46 pm,Mar 21 09:18 pm,
Classwork,0.6,Mar 21 08:12 pm,Mar 21 08:46 pm,
Activity type,Duration,Percent
Study,25.2,13.1
Computer ,19.5,10.2
Sleep,17.2,8.9
Eat,9.7,5.1
For Others ,3.7,2.0
Read,2.1,1.1
Entertainment,1.2,0.6
Eat+Computer ,0.8,0.4
Shower,0.7,0.3
Sport,0.4,0.2
Other,111.4,58.0
Total,192.0
